datetime,co,no2,o3,pm10,pm25,so2
2023-03-21 00:00:00+00:00,0.8,35.05,46.65,22.75,16.95,15.100000000000001
2023-03-21 01:00:00+00:00,0.75,31.55,42.4,23.2,18.15,14.4
2023-03-21 02:00:00+00:00,0.7000000000000001,28.75,39.199999999999996,21.55,16.15,13.7
2023-03-21 03:00:00+00:00,0.65,21.95,42.55,21.65,16.35,16.4
2023-03-21 04:00:00+00:00,0.6,21.95,43.449999999999996,17.6,13.399999999999999,12.9
2023-03-21 05:00:00+00:00,0.65,21.95,40.8,18.799999999999997,14.75,12.45
2023-03-21 06:00:00+00:00,0.65,22.3,35.15,22.95,16.55,10.45
2023-03-21 07:00:00+00:00,0.65,30.0,22.8,29.4,18.6,19.85
2023-03-21 08:00:00+00:00,1.0,32.6,22.5,31.1,19.8,20.75
2023-03-21 09:00:00+00:00,1.0,34.5,31.5,26.35,16.5,14.8
2023-03-21 10:00:00+00:00,0.6,31.150000000000002,33.75,23.0,14.850000000000001,12.5
2023-03-21 11:00:00+00:00,0.6,36.3,41.35,22.1,12.850000000000001,10.3
2023-03-21 12:00:00+00:00,0.6,33.4,42.6,20.6,13.100000000000001,10.850000000000001
2023-03-21 13:00:00+00:00,0.6,34.1,75.7,22.05,14.55,
2023-03-21 14:00:00+00:00,0.6,29.45,37.8,24.1,16.6,12.8
2023-03-21 15:00:00+00:00,0.3,33.15,35.349999999999994,26.049999999999997,17.45,13.8
2023-03-21 16:00:00+00:00,0.65,40.25,31.95,27.2,19.75,13.399999999999999
2023-03-21 17:00:00+00:00,0.4,,41.2,39.0,34.8,9.5
2023-03-21 18:00:00+00:00,0.5,15.7,31.9,37.1,34.0,10.55
2023-03-21 19:00:00+00:00,0.8,35.35,1.7,27.85,25.65,9.649999999999999
2023-03-21 20:00:00+00:00,0.75,31.95,28.8,27.4,25.6,8.7
2023-03-21 21:00:00+00:00,0.8,30.85,54.6,27.3,25.85,5.7
2023-03-21 23:00:00+00:00,0.7000000000000001,32.85,31.349999999999998,20.6,19.6,8.1
